state,name,female_2010,women_16_to_50_birth_rate_2017,hs_grad_2017,some_college_2017,bachelors_2017,mean_work_travel_2017,broadband_2017,computer_2017,homeownership_2010,persons_per_household_2017,metro_2013,fed_spending_2009,poverty_2017,poverty_age_under_5_2017,poverty_age_under_18_2017,unemployment_rate_2016,avg_family_size_2019
Iowa,Des Moines County,51.4,6.5,92,39.6,19.8,15.9,74,83.8,73.5,2.34,0,461154,15.3,31,23,4.92,2.86
Iowa,Dickinson County,50.4,7.1,95.6,37.5,29.5,15.7,78.3,88.7,78.3,2.08,0,129938,8.1,9.6,9.2,4.29,2.58
Iowa,Dubuque County,50.7,5.7,92.3,29,30,16.4,79.3,87.5,74.7,2.42,1,631812,11.9,17.6,15.4,3.55,2.98
Iowa,Emmet County,50.1,4.7,89.7,35.9,20.6,16.7,70.8,82.4,76.6,2.13,0,107908,13.8,17.9,17.9,4.25,2.7
Iowa,Fayette County,50,8.6,91,32.5,19.8,19.5,71.2,81.4,78.5,2.33,0,193323,12.8,15.4,16.3,4.43,2.84
Iowa,Floyd County,51,8.4,89.9,35.6,20.9,19,72.1,80.4,74.5,2.25,0,163274,15.6,40.1,27,3.64,2.91
Iowa,Franklin County,49.6,4.1,89.2,36.4,16.1,16.8,66.8,76.8,74.1,2.4,0,103391,15.6,29.1,26.1,3.46,2.79
Iowa,Fremont County,50.3,7.8,92.8,36.1,20.8,24.5,73.5,83.2,77.9,2.28,0,113409,11,19.3,14.1,3.28,2.78
Iowa,Greene County,50.6,7.8,92.3,34.9,20.6,19.6,71.2,85,76.2,2.28,0,97155,10,12.8,10.9,3.12,2.75
Iowa,Grundy County,50.6,7.4,95.2,36.9,26.3,21.1,77,84.6,80.7,2.37,1,90653,5.8,4.3,4,3.45,2.83
Iowa,Guthrie County,50.3,3.3,92.4,32.4,21.1,26.2,73,83.2,79.1,2.39,1,96094,10.1,16.8,11.2,3.59,2.84
Iowa,Hamilton County,50.3,4,92.6,38.4,23.5,18.4,71.2,83.2,76.7,2.35,0,150508,9.4,12.7,11.4,3.76,2.95
Iowa,Hancock County,50.1,6.7,93.4,34.5,20.7,18.2,69.3,82.1,82.6,2.24,0,95442,9.1,12.8,11.7,2.69,2.62
Iowa,Hardin County,50.3,8.5,91.8,37.8,20.7,17.9,69.2,80.2,73.8,2.28,0,168855,8,12.4,9.7,3.89,2.9
Iowa,Harrison County,50.8,6.1,92,36.2,17.8,26.4,70.1,82.9,79.4,2.29,1,152019,10.4,13,12.3,3.37,2.74
Iowa,Henry County,48.8,7.3,92.1,35.3,19.9,18.7,73.2,83.7,73.8,2.37,0,138341,12.2,22.6,19.1,3.54,2.82
Iowa,Howard County,50.4,11.4,89.6,32.7,14.6,17.8,70.3,80.2,79.5,2.34,0,95178,11.6,13.8,13.7,3.58,2.99
Iowa,Humboldt County,50.6,6.8,91.8,34.5,20.2,19.1,72.8,81.3,76,2.24,0,89176,13,15,20.2,2.89,2.85
Iowa,Ida County,50.1,8,93.6,34.9,19.7,18.1,73.2,80.5,75.6,2.25,0,61691,10.3,13,9.3,2.56,2.8
Iowa,Iowa County,50.7,4.8,92.5,33.2,20.2,22.5,70.8,85.2,77.9,2.35,0,115752,9.8,17,14.2,3.1,2.78
Iowa,Jackson County,50.4,7.9,91.5,30.5,18.6,23.3,71.4,79,78.4,2.28,0,165168,12,16.7,14,4.18,2.82
Iowa,Jasper County,49.1,7,93.1,33,18.1,22.9,72.8,84.4,73.4,2.41,0,245399,9.1,6.3,9.3,3.54,2.88
Iowa,Jefferson County,46.6,3.5,94.8,33,33.4,14.8,79.2,86.8,72.4,2.4,0,116571,15.2,18.7,19.5,3.65,3.19
Iowa,Johnson County,50,4.6,95.1,26.1,52.7,18.9,86.5,93.7,60.3,2.37,1,1124045,17.7,15.2,10.9,2.58,2.98
Iowa,Jones County,48.1,7,92.3,33.9,17.2,24.6,71.6,81.8,79.2,2.32,1,135952,9.1,10.3,9.8,4.27,2.96
Iowa,Keokuk County,50.3,5.7,92.3,32.2,18.1,23.9,69.1,78.4,80.1,2.25,0,114027,11.2,8.5,12.6,4.28,2.86
Iowa,Kossuth County,50.4,8.3,94.9,37.3,19.7,14.7,73.7,84.4,82.2,2.23,0,167099,10,18.9,12.9,2.62,2.73
Iowa,Lee County,49.4,8.4,92.3,36.3,15.7,17.5,70.7,81.4,74.1,2.38,0,320484,16.3,28.6,24.1,6.02,2.83
Iowa,Linn County,50.8,5.9,94.7,35.1,32.3,18.8,80.8,89.1,72.9,2.42,1,2263605,9.5,11.5,11,3.66,3.02
Iowa,Louisa County,49.1,8.2,81.5,30.8,14.9,24.3,75.2,82.3,80.1,2.54,0,95790,11,12.5,13.4,3.91,3.1
Iowa,Lucas County,50.2,4.2,92.7,33.2,16.9,19.8,71.5,83.3,75.5,2.29,0,93400,9.9,8.4,10.3,3.17,2.77
Iowa,Lyon County,50.1,9.9,90.6,32.2,21.7,16.2,79.4,88.3,81.9,2.58,0,74748,4.9,10.3,5.5,2.03,3.02
Iowa,Madison County,50.3,5.1,94.4,35,23.5,28.2,75.4,84.8,81.5,2.44,1,101574,7.3,8.5,4.6,3.53,2.9
Iowa,Mahaska County,49.7,3.6,91.9,29.2,23.8,18.3,76.1,84.5,75.1,2.41,0,182041,14.4,21.4,16.5,3.71,2.91
Iowa,Marion County,50.3,6.3,93.2,31.3,26.1,19,74.8,84.8,76.2,2.4,0,258675,9.3,12.8,9.4,3.01,2.91
Iowa,Marshall County,49.7,6.6,85.1,32.2,19.6,17.5,70,83.6,75,2.54,0,356923,11.2,16.4,16.2,4.88,3.13
Iowa,Mills County,49.7,3.1,92.6,34.7,22.8,24.7,77,85.9,82.5,2.56,1,141577,9.1,14.8,8.4,3.63,3.13
Iowa,Mitchell County,50.7,5.7,90.5,31.7,17.1,17,71.5,80.3,83.2,2.42,0,97896,8.3,6.3,10.2,2.62,3
Iowa,Monona County,51.1,3.6,91.1,35.9,16.2,21.1,70.7,81,71.5,2.13,0,164793,14.9,18.6,23.5,4.08,2.68
Iowa,Monroe County,50.1,5.9,90.2,28.5,15.8,22.4,69.6,84.1,78.3,2.32,0,83172,10.9,16.3,12.3,4.59,2.91
Iowa,Montgomery County,51.5,8.4,91.1,36.1,16.1,19,72.1,83.4,74.4,2.17,0,118987,16.5,34.5,25.2,3.52,2.67
Iowa,Muscatine County,50.3,5.5,87,31.6,21.1,17.2,75.2,84.9,77.7,2.58,0,296086,10.5,11.7,15.4,3.8,3.08
Iowa,O'Brien County,50.2,10.7,92.4,36.2,19.8,16.3,70.9,83.7,76.9,2.22,0,131628,9.7,20.4,12.9,2.76,2.79
Iowa,Osceola County,49.8,8,87.4,31.5,17.7,19.1,76.2,83.6,75.6,2.31,0,57138,11.4,26.5,18,2.63,2.84
Iowa,Page County,48.1,10.6,89.8,34.5,20.6,13.9,73.2,83.8,74,2.24,0,157719,13.6,25.9,18,5,2.9
Iowa,Palo Alto County,50.3,6.1,94.4,39.8,25.6,15.3,74.3,85.2,74.6,2.29,0,104354,7.1,7.7,9.7,3.1,2.98
Iowa,Plymouth County,50.5,7,92.6,37.6,20.7,17.8,78.5,85.7,80.8,2.45,1,164047,9.1,8.5,12.9,2.55,2.84
Iowa,Pocahontas County,50.3,6.3,92.1,36.9,15.7,18.2,73.8,83.1,80.3,2.14,0,84499,13.2,10.4,13.7,2.85,2.59
Iowa,Polk County,51,6,91.4,31,35.3,19.4,81.4,90.9,70.8,2.53,1,5104881,11.7,17,16,3.46,3.13
Iowa,Pottawattamie County,51,5.5,89.7,34.5,21.2,20.5,74.4,84.7,71.3,2.46,1,759894,11.2,18.3,15.1,3.39,3.03
Iowa,Poweshiek County,51.1,5.7,92.7,31.4,22.7,17.1,72.3,85.1,78.2,2.2,0,163717,10.7,16.4,11.7,3.43,2.72
Iowa,Ringgold County,51.4,8.2,92,34.6,20.1,20.3,67.3,77.9,79.2,2.31,0,68737,10.9,6.3,8.6,3.49,2.99
Iowa,Sac County,51.1,8.8,92.1,34.8,19.8,17.1,72.6,83.6,80.8,2.23,0,98242,9.4,14.1,9.8,3,2.72
Iowa,Scott County,51,5.4,92.4,30.9,31.9,19.1,76.3,84.3,70.4,2.51,1,1311754,12.3,21.6,16.5,4.53,3.17
Iowa,Shelby County,51.2,7.6,91.1,32.6,21.2,18.8,74.4,81.7,77.8,2.28,0,124023,8.7,16.8,10.9,2.93,2.85
Iowa,Sioux County,50.1,7.9,90,31,27.5,12.9,81.9,87.9,81.3,2.67,0,199406,7.9,10.7,8.7,2.29,3.15
Iowa,Story County,48.2,3.8,96.8,27.4,50.6,17.7,81.8,94.3,54.8,2.32,1,735315,22,10.3,8.7,2.34,2.84
Iowa,Tama County,50.9,6.9,91.1,34.3,16.5,22.7,71.5,85.3,77.9,2.52,0,158362,11.8,20,19.4,4.17,3.02
Iowa,Taylor County,50.2,6.4,91,36.6,14.3,21.2,69.6,81.1,80.5,2.27,0,78884,11,13.7,10.7,2.94,2.9
Iowa,Union County,51.3,10.8,91.3,39.2,16.1,17.5,70.7,81.8,71.9,2.3,0,141644,13.8,21.5,15,3.79,2.91
Iowa,Van Buren County,49.7,6.7,87.6,35,13.8,22.3,61.7,76.2,78.3,2.51,0,71331,14,33,27.2,3.65,3.05
Iowa,Wapello County,51.1,7.1,87.4,33.5,18.4,18.1,71,82.2,76.5,2.37,0,378192,17,26,20.7,5.79,2.92
Iowa,Warren County,51.3,5,95.7,34.3,30.4,23.7,81.2,89.8,79.1,2.51,1,254328,6.2,12,6.9,3.19,2.96
Iowa,Washington County,51,11.3,91.4,31.7,21.1,20.7,73,84.5,77,2.51,1,155595,9.1,15.6,12.3,2.92,2.91
Iowa,Wayne County,51.3,9.4,89.3,30.1,13.8,23.8,65.7,72.6,79.2,2.39,0,92558,15.9,32,25.2,3.76,2.99
Iowa,Webster County,48.8,6,91.4,37.7,20.4,16.5,72.4,81.3,68.8,2.26,0,390908,16.2,22.7,21.6,3.98,2.84
Iowa,Winnebago County,50.5,8.5,91.6,36.4,20.8,16.7,71.3,83.6,74.7,2.17,0,97124,10.1,9,11.5,3.46,2.8
Iowa,Winneshiek County,50.4,4.3,94.7,32.9,28.8,17.9,75.5,83.9,75.5,2.24,0,153868,8,6.6,7.7,3.51,2.7
Iowa,Woodbury County,50.7,6.7,85.8,30.5,22.4,17.8,71.7,84,68.6,2.55,1,786280,14,18.9,19.2,3.55,3.13
Iowa,Worth County,50.2,6.9,92.3,40.7,15.2,20.5,69,78.7,80.1,2.33,0,71550,10.1,17.7,13.8,3.42,2.8
Iowa,Wright County,50.3,6.4,90.5,37.7,17.5,15.9,69.2,79.6,74.4,2.26,0,138859,12.6,25.2,20.6,4.1,2.76
Kansas,Allen County,51.2,7.2,92.4,39.9,19.2,17.4,70,79.4,78,2.32,0,120661,14.2,15.1,16,5.58,2.84
Kansas,Anderson County,50.5,4.6,90.8,33.6,18.6,24.2,65.1,77,83.9,2.41,0,59759,13.6,15.9,22.2,4.31,3.03
Kansas,Atchison County,51.3,3.8,92.4,32.2,20.7,19.8,68.5,79.6,66.4,2.52,0,172043,18.5,36.3,24.6,6.2,3.08
Kansas,Barber County,49.6,6.9,92.6,37.3,19.9,15.8,69.2,84.9,71.2,2.47,0,44803,15.9,24.7,22.5,3.68,3.04
Kansas,Barton County,50.9,6.8,87.6,38,16.9,17.9,70.7,83.5,74.1,2.36,0,194058,15.7,26.2,21.4,4.48,3.03
Kansas,Bourbon County,51,9.1,90.4,40.1,19.1,17.1,63.7,76.8,74.7,2.55,0,126680,17.6,32.6,24.7,4.85,3.06
Kansas,Brown County,51.3,8.3,93.3,32.8,21.2,18.2,72,81.7,70,2.41,0,108068,13.2,19.4,18.7,3.62,3.01
Kansas,Butler County,49.6,5.6,92.3,36.8,29.3,22.7,78.9,87.2,77.8,2.61,1,332450,10.8,15.7,15.6,4.17,3.05
Kansas,Chase County,49,6.1,92,39.4,25.1,20.9,68.5,76,81.7,2.35,0,25151,12.6,15.7,18.1,3.48,3.18
Kansas,Chautauqua County,49.3,4.9,87.6,34,16.6,19.7,64.1,75.6,78.6,2.35,0,43087,14.3,10.4,21.4,5.19,2.88
Kansas,Cherokee County,50.3,4.8,87.7,33.9,19,18.8,65.2,80.6,79,2.54,0,208537,13.7,14.4,19.3,4.43,3.18
Kansas,Cheyenne County,49.6,9.6,92.6,35.9,25.8,13.2,72.5,80.4,75.3,2.12,0,45428,11.2,21.3,13.5,2.83,2.94
Kansas,Clark County,51.5,7.7,93.4,33.4,33.1,17.4,61.6,77.5,73.6,2.23,0,23627,8.9,8.6,12,2.78,2.84
Kansas,Clay County,50.5,6.9,92.2,38.6,23.9,19.7,70,80.3,73.4,2.36,0,77256,9.4,12.5,13.7,4.07,2.88
Kansas,Cloud County,51.1,9,91.3,39.1,21.2,17,67.7,81.4,78,2.26,0,98415,11.9,19.5,11.2,4.11,2.79
Kansas,Coffey County,50.6,9.8,92.6,35.1,20.9,19.9,76.2,86.1,77,2.28,0,66338,11.3,18.7,13,6.19,2.64
Kansas,Comanche County,51.8,1,92.5,41.1,18.5,13.4,72.9,85.3,82.9,2.3,0,17983,8.1,6.3,6.4,3.09,2.87
Kansas,Cowley County,50.1,7.2,90,38.2,20.3,18,70.1,83.7,72.2,2.45,0,296474,16,24.8,21,4.42,3
Kansas,Crawford County,50.4,6.7,90.3,33.3,28.9,16.4,72.5,84.1,64.9,2.49,0,379123,21.1,22.9,19.7,4.83,3.04
Kansas,Decatur County,49.9,6,91.3,37.3,21.9,16.9,73.1,81.7,72.7,1.95,0,40617,17.5,40.6,29.9,3.94,2.55
Kansas,Dickinson County,50.7,7.5,90.2,34.9,20.8,21.1,71.9,82.1,73.9,2.42,0,185731,11.6,9.7,13,4.43,2.99
Kansas,Doniphan County,49.6,7.3,90.1,35,17,20,62,77.5,75.2,2.34,1,72125,13.7,23.7,21.4,3.86,2.87
Kansas,Douglas County,49.9,4.6,95.3,27,50,20.4,85.3,93.6,53.5,2.43,1,708967,18.7,15.7,12.7,3.53,2.97
Kansas,Edwards County,50.2,2.4,82.5,36.7,18.8,19.2,63.2,81.9,75.2,2.23,0,41918,10.2,12.9,17.3,3.02,2.63
Kansas,Elk County,50.5,5.1,89.9,35.2,15.8,27,64.3,77.2,81,2.19,0,30897,13.5,25.4,16.3,4.96,2.83
Kansas,Ellis County,50.3,3,93.2,33.4,35.6,12.8,80.2,88.1,63,2.38,0,187112,16.7,19.4,12.1,3.09,3.02
Kansas,Ellsworth County,43.8,7.5,90.8,37.1,20.3,16.5,73,83,78.4,2.17,0,51613,11.4,13,14.5,3.85,2.78
Kansas,Finney County,49.8,7,71.3,31,17.3,14.3,76.5,86.4,71.8,2.89,0,180879,16.2,24.4,21.4,3.08,3.46
Kansas,Ford County,48.4,5.8,70.8,27.6,18.3,14.4,71.1,83.4,68.3,3,0,190393,16.2,26.5,23,3.16,3.48
Kansas,Franklin County,50.5,6.2,92,34.4,20.3,23.7,67.8,83.6,72.1,2.53,0,167319,12.5,25.4,17.9,4.19,2.98
Kansas,Geary County,50.5,9.5,92.8,45.7,21.4,16.2,83,90.4,49.9,2.69,0,2765299,14.9,26.9,22.5,5.63,3.11
Kansas,Gove County,50,11.1,91.9,33.8,23.1,12.8,75.4,85.4,81.2,2.17,0,47037,9,9.3,9,2.41,2.62
Kansas,Graham County,51.1,13.2,93.3,32,27.4,15,74.6,82.8,80.5,2.03,0,39526,12.3,30.8,16.3,4.41,2.61
Kansas,Grant County,48.9,1.3,72.8,26.2,16.2,14.5,78.2,87,73.1,2.91,0,48562,10,12.6,9.5,3.58,3.5
Kansas,Gray County,50.9,6.5,76.4,32.7,21,15.5,72.5,88.6,75.4,2.76,0,52184,8.5,8.5,11.6,2.26,3.35
Kansas,Greeley County,52.3,4.6,88.6,23.4,30.3,12,77.1,83.6,73.8,2.39,0,36314,11.5,5.3,23.3,2.08,2.83
Kansas,Greenwood County,50.7,7.9,89.9,35.1,18.9,22.8,62.4,76,73.5,2.22,0,71971,12.4,18.8,14.7,4.88,2.71
Kansas,Hamilton County,49.3,3.3,82.5,26.5,17.8,14.1,71.9,84.8,74.2,3.03,0,42924,9.3,24.9,13.6,2.68,3.88
Kansas,Harper County,50.5,5.4,88.9,31.9,17.5,16,70,82.2,70.7,2.37,0,72343,16.8,24.4,20.8,3.58,2.96
Kansas,Harvey County,51.2,6.9,91.2,34.9,30,19.6,75.7,83.1,74,2.49,1,216814,11.2,20.9,14.2,4.23,3.03
Kansas,Haskell County,50,6.6,69.4,33.3,17.6,13.7,73.5,84.9,76,3.04,0,38782,13.3,25.2,18.4,2.6,3.52
Kansas,Hodgeman County,50,4.1,92.6,42.5,24.4,16.9,72.6,85.8,80.8,2.34,0,29599,8.4,21,11,2.62,2.84
Kansas,Jackson County,49.9,7.8,95,34.4,19.9,25.1,73.3,82,78.2,2.49,1,88332,9.9,15.8,11.2,3.46,2.86
Kansas,Jefferson County,49.3,6.8,92.6,32,21.2,30,74.1,85.1,85.2,2.42,1,106920,8.3,12.3,12,3.89,2.91
Kansas,Jewell County,48.8,6.1,94.8,35.5,15.9,18.4,65.6,75.9,76.4,2.11,0,44073,14.2,41.6,24.3,4.28,2.62
Kansas,Johnson County,51.2,5.5,95.7,26.6,54.6,20.9,90.2,94.5,71.9,2.56,1,2551951,5.6,6.9,6.2,3.26,3.12
Kansas,Kearny County,49.2,3.4,78.1,37.2,13.4,16.3,69.7,86.1,74.1,3.11,0,43840,13.2,7.1,14.7,3.16,3.74
Kansas,Kingman County,50.4,4,93.1,38.1,23.3,22.1,69.2,83.3,78.9,2.36,1,77700,7.6,14.5,9.6,4.39,2.83
Kansas,Kiowa County,50.8,2.9,90.1,35.6,27.6,14.5,66.3,81,73.2,2.33,0,43947,8.7,7.5,6.9,2.75,2.95
Kansas,Labette County,50.5,7.6,87.2,37.4,17.6,15.8,70.4,82.4,71.5,2.47,0,210593,17.8,29.5,26,5.39,2.91
Kansas,Lane County,51.1,16.1,93.5,38.5,23.9,14.4,75.5,87.1,73.4,2.05,0,32204,10.7,12.3,6.8,3.09,2.9
Kansas,Leavenworth County,46.9,6.1,91.6,32.1,31,22.6,79.8,90.3,69.4,2.69,1,2027165,9,14.9,12.4,4.3,3.24
Kansas,Lincoln County,50.1,10,94.2,41.3,19.9,18.8,70.4,81.3,81.1,2.4,0,32279,8.4,10.5,7.7,3.45,3.1
Kansas,Linn County,49.9,5.6,89.3,35.2,14.1,32.8,55.1,76.4,84.9,2.15,1,149574,17.4,27.2,19,6.42,2.58
Kansas,Logan County,50.5,11.9,91.6,42.3,19.1,13.1,76.1,84.6,76.3,2.36,0,40700,8.9,11.3,7.1,2.55,3.07
Kansas,Lyon County,51.1,5.7,89.1,29.8,27.1,17,77.4,87.3,59.5,2.36,0,206961,18.6,27.7,19.3,4.1,2.94
Kansas,McPherson County,50.9,5.4,91.4,34.5,28.6,13.5,78.3,88.2,76.2,2.28,0,253337,7.6,6.8,6.9,3.15,2.75
Kansas,Marion County,49.7,9.2,89.8,33.1,23.9,20,68.5,80.7,83.7,2.33,0,97140,10.7,17.5,11.5,3.94,2.86
Kansas,Marshall County,50.5,8.5,92.7,32,18.6,15.5,69.7,81.4,76.2,2.3,0,105904,8.9,17.9,10.9,3.02,2.96
Kansas,Meade County,49.2,6.7,82.1,31.7,20.7,15.3,74.6,83,78.2,2.49,0,39579,12.2,27.4,20.8,2.69,2.95
Kansas,Miami County,50.6,6,94.9,36.5,25.9,27.9,71,87.8,79.9,2.53,1,154942,7.7,6.9,8.8,4.15,3.03
Kansas,Mitchell County,49.5,3.8,95.3,38.8,24.1,9.6,73.7,82.7,75.9,2.19,0,65224,14.8,23.5,17.2,3.3,2.87
Kansas,Montgomery County,50.9,6.3,89.2,41.9,18.7,16.6,69.8,81.8,71.8,2.39,0,326523,17.5,33.7,23.4,6.12,2.96
Kansas,Morris County,50.1,8.7,88.2,33.6,18.1,21.3,76.6,84.1,77.6,2.38,0,53185,9.8,10.3,11.4,3.83,2.88
Kansas,Morton County,51.4,2.7,85.6,35.8,13.1,17.7,69.6,80.1,71.3,2.55,0,41127,8,20.2,6.5,3.87,3.46
Kansas,Nemaha County,49.4,7.8,92.5,27.2,23.7,15.9,71,82.9,79.1,2.37,0,85294,10.8,21.4,12,2.68,3
Kansas,Neosho County,50.6,7.1,91.9,41.2,19.4,16.6,65.1,77,77.2,2.42,0,128033,21.4,39.3,36.3,7.17,2.91
Kansas,Ness County,49.8,13.7,91.2,37.5,19,12.9,70.3,78.9,82.6,2.22,0,40164,8.9,5.2,12.4,3.44,2.75
Kansas,Norton County,44.1,9.4,90.3,37.3,16.1,13.6,69.8,76.4,68,2.47,0,63544,11.6,20.7,22.7,2.44,3.17
Kansas,Osage County,50.3,5.8,90.9,32.6,20.7,29.5,69.9,81.3,79,2.38,1,112619,12.8,21.4,14.6,4.41,2.86
Kansas,Osborne County,50.3,8.8,92,33,22.3,13.7,71,82.6,78.3,2.09,0,51494,15.5,29.2,24.6,3.4,2.7
Kansas,Ottawa County,48.4,0.9,94.8,36,22.2,23.7,66,80.2,81.8,2.41,0,45333,9.7,36.9,13.9,3.79,2.79
Kansas,Pawnee County,44.5,2.3,90.4,41.6,18.2,14.8,72.5,80.8,70.9,2.19,0,58699,7.8,8.8,4.7,3.3,3.1
Kansas,Phillips County,50.5,11.2,93.2,35.4,21.5,14.1,76.7,84.9,79.8,2.3,0,58699,8.1,15.9,10.6,3.15,2.79
Kansas,Pottawatomie County,50.4,8.4,94.7,31.9,33.5,21.1,79.8,89.2,81,2.69,1,106426,9.7,11.1,9.3,3.48,3.23
Kansas,Pratt County,50.7,5.1,91.8,39.6,26.4,12.8,70.4,80.8,70.4,2.48,0,83395,10.9,14.1,10.4,4.06,2.99
Kansas,Rawlins County,50.2,14.3,94.6,38.3,26.7,15,75.9,83.2,74.5,2.12,0,42037,8.7,0.8,7.7,2.39,2.59
Kansas,Reno County,49.9,6.3,87.7,38.7,20,17.5,73.8,83.6,71.6,2.42,0,495843,14,22.8,19.9,4.4,3.02
Kansas,Republic County,50.9,8.7,95.1,38.9,23.3,17.6,63.3,75.3,81.1,2,0,54766,11.7,14.8,18.2,2.75,2.65
Kansas,Rice County,49.8,5.1,89.1,37.3,22.5,16.5,74.4,82,75.5,2.35,0,83740,16.4,21.9,22.2,3.98,2.84
Kansas,Riley County,47.9,4.9,95.9,32.9,45.5,14.9,84.4,93.5,43.7,2.46,1,435137,22,16.4,13.4,3.39,2.97
Kansas,Rooks County,51.1,7,91.2,34.5,25.7,16,73.2,83.2,77.6,2.31,0,54632,11.3,19.5,12.8,4.72,2.89
Kansas,Rush County,50.7,6.5,90.8,37.5,23.1,19,68.6,80.9,79.7,2.13,0,39726,6.7,3.7,2.2,3.98,2.83
Kansas,Russell County,50.6,10.1,91.1,35.6,24.2,14.7,73.9,78.7,75.3,2.17,0,68272,13.8,23.6,16.8,4.2,2.81
Kansas,Saline County,50.2,7.5,90.1,32.1,25,14.8,74.7,84.1,67.8,2.41,0,395033,12.6,20.1,16.7,3.73,3.11
Kansas,Scott County,49.6,8.6,85.3,28.4,26.7,14.6,85.9,90.8,81.8,2.33,0,51745,4.3,0,3.8,2.46,2.95
Kansas,Sedgwick County,50.6,6.5,89.1,32.2,30.7,18.8,76.4,85.3,66.9,2.58,1,5280199,14.7,22.3,20.1,4.65,3.26
Kansas,Seward County,48.5,6,67.2,28.4,12.1,14.8,72.3,82.1,64.4,2.96,0,103382,18.8,32.9,27.1,4.35,3.51
Kansas,Shawnee County,51.7,5.5,91.6,30.4,30.4,18,72.7,84.8,66.8,2.42,1,3057967,13.2,22.4,16.7,4.01,3.06
Kansas,Sheridan County,49.1,9.6,93.4,37.5,24.6,13.4,75.6,85.3,77.7,2.16,0,39036,4.8,3,5.7,2.42,2.7
Kansas,Sherman County,50,9.3,94.8,41.2,18.2,15.3,80.3,86.1,71.9,2.15,0,82174,16.5,26,24.2,3.3,2.87
Kansas,Smith County,51,7.7,93.2,37.3,20.1,14.5,73.2,79.5,81.1,2.18,0,51313,13.3,32.5,24,3.2,2.59
Kansas,Stafford County,50.2,6.8,88.5,38.3,22.6,19.3,67.4,83.1,80.9,2.29,0,57441,14.5,23.8,19.3,3.68,2.74
Kansas,Stanton County,48.9,10.2,77.9,29.1,22.6,11.1,63.4,83.2,74.8,2.61,0,42549,10.8,18.4,10.7,2.8,3.56
Kansas,Stevens County,50.4,4.3,81.3,34.7,16.2,15.7,70.2,90,68.9,2.88,0,56691,16.8,39.2,24.7,3.95,3.54
Kansas,Sumner County,50.1,6.7,92.1,36.6,20.9,23.5,70.5,82.1,77.4,2.49,1,216037,11.8,14.8,13.8,4.24,3
Kansas,Thomas County,50.8,4.8,95.2,38.3,26.5,11.1,85.2,92.6,65.1,2.3,0,86786,11.1,10.1,6.3,2.76,2.63
Kansas,Trego County,50.6,1.5,93.2,39.2,23.3,20,83.2,90.6,82.3,2.03,0,34525,4.8,4.5,2.7,4,2.45
Kansas,Wabaunsee County,49.1,5.5,93.3,35.5,22.7,27,73.1,82.1,83.2,2.5,1,77812,6.1,3.1,6.7,3.56,3.07
Kansas,Wallace County,50,4.3,91.5,34.8,26.4,13.9,71.5,77.9,83.4,2.64,0,37475,10.6,6.7,16.2,2.67,2.91
Kansas,Washington County,49.3,5.7,91.9,35,19.1,19.2,65.2,77.3,78.8,2.32,0,65926,9.7,13.3,13.4,3.27,2.94
Kansas,Wichita County,48.8,10.7,84.4,34,20.3,11.8,70.3,85.5,80,2.39,0,41576,4.4,0,1.2,2.32,2.78
Kansas,Wilson County,50.9,7.5,87.8,36.2,15.5,17.1,59.6,75.1,76.2,2.25,0,87885,16.8,29.2,24.2,6,2.84
Kansas,Woodson County,50,8.6,88.4,40.2,13.7,23,59.6,73.3,73.8,2.08,0,34570,20.6,26.9,27.2,5.75,2.67
Kansas,Wyandotte County,50.7,6.7,78.8,28.9,16.7,21.5,67.8,82.8,63.2,2.73,1,1513039,21.4,33.9,30.7,5.56,3.46
Kentucky,Adair County,50.6,3.4,76.9,23.6,15.8,22.2,63.6,73.7,74.8,2.54,0,200808,21.5,26.7,26.8,6.89,3.11
Kentucky,Allen County,50.9,5.7,79.5,26.2,14.4,24.1,61.7,76.7,74.8,2.65,1,180206,20,41.2,27.7,4.39,3.21
Kentucky,Anderson County,51.1,7.9,88.2,30.8,20,26.6,70.2,85.3,76.3,2.54,0,115045,12,15.4,14.3,4.08,3.03
Kentucky,Ballard County,50.3,3.1,85.3,34.7,14.1,23.6,70,78.8,83.3,2.49,0,98229,18.2,31.1,28.3,8.94,3.12
Kentucky,Barren County,51.5,6.8,82.2,25.4,16.2,20.7,73.1,80.2,70.3,2.52,0,392668,22.9,39.9,33.3,4.68,3.06
Kentucky,Bath County,50.4,6.5,76,24.1,11.7,25.5,66.3,76.2,80.6,2.68,0,117164,24,40.1,31.7,7.38,2.93
Kentucky,Bell County,51.4,4.6,67.2,22,9.3,20.6,57.1,66.4,68.6,2.39,0,265806,38,63.2,49.2,9.13,3.07
Kentucky,Boone County,50.5,4.9,92.7,34.3,31.5,24,87.5,92.5,76.4,2.75,1,642828,7.6,13.4,10.4,3.87,3.21
Kentucky,Bourbon County,51.3,5.8,84.5,29,19,22.7,64.6,80.3,61.4,2.44,1,161784,16.6,33.8,23.9,4.84,2.92
Kentucky,Boyd County,50.3,4.6,88.8,35.5,19.4,21.6,75.4,86,69.2,2.43,1,615758,19.3,34.8,27.3,8.23,3.07
Kentucky,Boyle County,51.3,4.2,86.8,28.2,23,20.5,72.3,81.8,69,2.48,0,257679,15.5,24.9,18.1,4.99,3.04
Kentucky,Bracken County,50.2,6.7,84.4,26.4,14,35.6,62.8,77.6,78.6,2.42,1,82333,21.4,26.2,25.2,6.12,3.12
